,Fecha,Total_de_cuentas,Cuentas_en_impago,Porcentaje_cuentas_impago
0,2020-07-07,6,1,16.67
1,2020-07-08,12,1,8.33
2,2020-07-09,13,1,7.69
3,2020-07-10,11,1,9.09
4,2020-07-11,5,1,20.0
5,2020-07-12,9,1,11.11
6,2020-07-13,10,1,10.0
7,2020-07-14,8,0,0.0
8,2020-07-15,3,1,33.33
9,2020-07-16,15,1,6.67
10,2020-07-17,12,1,8.33
11,2020-07-18,11,0,0.0
12,2020-07-19,15,1,6.67
13,2020-07-20,11,1,9.09
14,2020-07-21,13,1,7.69
15,2020-07-22,11,1,9.09
16,2020-07-23,11,1,9.09
17,2020-07-24,16,1,6.25
18,2020-07-25,10,1,10.0
19,2020-07-26,6,0,0.0
20,2020-07-27,15,1,6.67
21,2020-07-28,13,1,7.69
22,2020-07-29,11,1,9.09
23,2020-07-30,12,1,8.33
24,2020-07-31,12,1,8.33
25,2020-08-01,12,1,8.33
26,2020-08-02,25,1,4.0
27,2020-08-03,18,1,5.56
28,2020-08-04,15,1,6.67
29,2020-08-05,18,1,5.56
30,2020-08-06,9,1,11.11
31,2020-08-07,23,1,4.35
32,2020-08-08,9,1,11.11
33,2020-08-09,14,1,7.14
34,2020-08-10,11,1,9.09
35,2020-08-11,9,1,11.11
36,2020-08-12,5,1,20.0
37,2020-08-13,8,1,12.5
38,2020-08-14,11,1,9.09
39,2020-08-15,13,1,7.69
40,2020-08-16,11,1,9.09
41,2020-08-17,13,1,7.69
42,2020-08-18,15,1,6.67
43,2020-08-19,10,1,10.0
44,2020-08-20,14,1,7.14
45,2020-08-21,11,1,9.09
46,2020-08-22,13,1,7.69
47,2020-08-23,16,1,6.25
48,2020-08-24,7,1,14.29
49,2020-08-25,19,1,5.26
50,2020-08-26,13,1,7.69
51,2020-08-27,11,1,9.09
52,2020-08-28,17,1,5.88
53,2020-08-29,10,1,10.0
54,2020-08-30,8,1,12.5
55,2020-08-31,13,1,7.69
56,2020-09-01,9,1,11.11
57,2020-09-02,10,1,10.0
58,2020-09-03,9,1,11.11
59,2020-09-04,10,1,10.0
60,2020-09-05,13,1,7.69
61,2020-09-06,10,1,10.0
62,2020-09-07,13,1,7.69
63,2020-09-08,13,1,7.69
64,2020-09-09,10,1,10.0
65,2020-09-10,11,1,9.09
66,2020-09-11,17,1,5.88
67,2020-09-12,12,1,8.33
68,2020-09-13,12,1,8.33
69,2020-09-14,11,1,9.09
70,2020-09-15,12,1,8.33
71,2020-09-16,9,1,11.11
72,2020-09-17,12,1,8.33
73,2020-09-18,11,1,9.09
74,2020-09-19,8,1,12.5
75,2020-09-20,8,1,12.5
76,2020-09-21,14,1,7.14
77,2020-09-22,9,1,11.11
78,2020-09-23,18,1,5.56
79,2020-09-24,17,1,5.88
80,2020-09-25,13,1,7.69
81,2020-09-26,11,1,9.09
82,2020-09-27,9,1,11.11
83,2020-09-28,4,1,25.0
84,2020-09-29,9,1,11.11
